state	yr	qtr	index_nsa	index_sa	note
AK	1991	1	100.00	100.00	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1991	2	99.72	99.54	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1991	3	101.38	100.85	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1991	4	100.07	100.91	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1992	1	101.91	101.91	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1992	2	103.04	102.83	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1992	3	104.50	103.97	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1992	4	104.25	105.17	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1993	1	103.26	103.25	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1993	2	106.65	106.35	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1993	3	107.76	107.29	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1993	4	109.28	110.23	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1994	1	111.54	111.54	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1994	2	112.82	112.41	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1994	3	113.74	113.34	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1994	4	112.64	113.58	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1995	1	115.35	115.41	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1995	2	117.36	116.85	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1995	3	118.59	118.25	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1995	4	118.53	119.41	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1996	1	122.22	122.40	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1996	2	123.36	122.79	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1996	3	121.66	121.31	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1996	4	124.47	125.27	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1997	1	124.08	124.46	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1997	2	125.95	125.32	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1997	3	127.17	126.77	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1997	4	127.13	127.81	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1998	1	128.14	128.76	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1998	2	131.29	130.59	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1998	3	132.49	132.01	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1998	4	134.01	134.60	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1999	1	133.61	134.49	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1999	2	135.81	135.04	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1999	3	137.14	136.58	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	1999	4	135.60	136.10	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2000	1	136.58	137.62	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2000	2	141.10	140.32	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2000	3	141.37	140.72	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2000	4	141.69	142.15	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2001	1	144.28	145.48	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2001	2	148.35	147.54	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2001	3	151.53	150.82	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2001	4	153.26	153.70	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2002	1	153.82	155.11	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2002	2	159.08	158.32	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2002	3	161.94	161.14	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2002	4	162.10	162.46	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2003	1	166.24	167.71	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2003	2	169.00	168.25	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2003	3	172.06	171.14	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2003	4	175.47	175.77	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2004	1	177.74	179.49	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2004	2	184.02	183.19	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2004	3	188.37	187.24	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2004	4	192.37	192.56	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2005	1	196.92	199.34	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2005	2	203.63	202.48	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2005	3	210.33	208.86	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2005	4	213.68	213.93	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2006	1	216.06	219.14	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2006	2	224.12	222.60	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2006	3	226.99	225.23	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2006	4	226.91	227.06	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2007	1	225.91	229.77	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2007	2	234.19	232.24	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2007	3	233.10	231.11	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2007	4	229.78	230.02	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2008	1	221.07	225.11	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2008	2	230.79	228.73	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2008	3	231.62	229.50	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2008	4	225.44	225.68	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2009	1	228.14	232.59	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2009	2	226.69	224.48	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2009	3	225.27	223.03	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2009	4	226.33	226.91	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2010	1	219.08	223.21	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2010	2	228.75	226.51	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2010	3	228.93	226.50	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2010	4	225.71	226.57	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2011	1	226.47	230.73	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2011	2	226.24	223.85	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2011	3	229.25	226.65	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2011	4	224.56	225.94	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2012	1	221.83	225.71	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2012	2	231.76	229.23	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2012	3	232.02	229.36	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2012	4	229.31	230.99	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2013	1	229.37	233.31	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2013	2	238.02	235.20	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2013	3	238.12	235.50	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2013	4	232.59	234.52	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2014	1	232.27	235.94	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2014	2	242.74	239.88	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2014	3	245.97	243.49	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2014	4	241.96	243.91	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2015	1	243.27	246.93	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2015	2	250.34	247.40	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2015	3	251.31	249.00	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2015	4	253.62	255.68	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2016	1	252.93	256.39	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2016	2	259.52	256.61	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2016	3	256.01	253.82	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2016	4	255.19	257.31	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2017	1	252.01	255.19	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2017	2	258.51	255.61	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2017	3	261.84	259.75	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2017	4	257.18	259.45	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2018	1	256.84	259.82	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2018	2	262.27	259.42	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2018	3	261.25	259.09	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2018	4	258.77	261.22	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2019	1	261.62	264.66	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2019	2	272.09	269.08	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2019	3	271.55	269.07	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2019	4	265.53	268.17	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2020	1	271.48	274.99	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2020	2	279.59	276.34	Note: (External) County Records Data Comprise Less than 10% of Total Sample
AK	2020	3	283.75	280.73	Note: (External) County Records Data Comprise Less than 10% of Total Sample
